Id,gratuidade,sentenca
00006709820158150881,False,Extinto
00006721020078150021,False,Extinto
00006753520188150261,False,Extinto
00006758520138150301,False,Extinto
00006799220158150741,False,Nenhuma Sentença
00006801520078150141,False,Nenhuma Sentença
00006803620148150281,False,Improcedente
00006813120168152001,False,Improcedente
00006854920148150381,False,Improcedente
00006878820148150261,False,Outros
00006883720158150391,False,Acordo
00006936320158150131,False,Improcedente
00006940520118150611,False,Procedente
00006944820158150131,False,Outros
00006961720168150411,False,Nenhuma Sentença
00006980420158152001,False,Parcialmente
00006988420168150411,False,Extinto
00006992320148152001,False,Improcedente
00006998020138150021,False,Procedente
00007017520158150281,False,Nenhuma Sentença
00007058520138150151,False,Nenhuma Sentença
00007074220128150781,False,Parcialmente
00007076920068150161,False,Acordo
00007077820128150381,False,Outros
00007091420138150381,False,Nenhuma Sentença
00007101320118150011,False,Nenhuma Sentença
00007150320168150741,False,Extinto
00007151720158150101,False,Improcedente
00007160620108150221,False,Outros
00007166120108150041,False,Procedente
00007173320158150021,False,Extinto
00007176620058150091,False,Improcedente
00007194020158150041,False,Improcedente
00007225520058150781,False,Improcedente
00007237720168150741,False,Extinto
00007242520158150021,False,Extinto
00007254720138150581,True,Improcedente
00007266120138150151,False,Nenhuma Sentença
00007281320098150461,False,Nenhuma Sentença
00007297320118150381,False,Nenhuma Sentença
00007308620158150391,False,Procedente
00007330320108150331,False,Acordo
00007347020168150171,False,Extinto
00007366220078151171,True,Parcialmente
00007378520098151071,False,Acordo
00007413320168150601,False,Improcedente
00007458320018150411,False,Outros
00007466320158150351,False,Nenhuma Sentença
00007476520138150271,True,Extinto
00007481720158150421,True,Outros
00007493420158150281,False,Nenhuma Sentença
00007506020168150741,False,Improcedente
00007534020138150411,False,Improcedente
00007548820148150411,False,Parcialmente
00007563220108150271,False,Procedente
00007563420168150461,False,Parcialmente
00007569620138150151,False,Extinto
00007622420098152001,False,Improcedente
00007629520158150131,False,Acordo
00007647520138150021,False,Outros
00007658320158150411,False,Outros
00007672820158150581,True,Acordo
00007680420088150631,False,Extinto
00007682020148150881,False,Improcedente
00007688320118150021,False,Acordo
00007699620118150141,False,Nenhuma Sentença
00007708820158152001,False,Improcedente
00007738220108150331,False,Nenhuma Sentença
00007745420128150151,False,Nenhuma Sentença
00007784020158150231,True,Extinto
