Processo_ID,Primeiro Resultado,Todos os Resultados,Total Vereditos
08463385020228152001,Outros,Outros | Outros,2
08097301920238152001,Outros,Outros | Outros | Acordo | Acordo,4
08011616820198152001,Extinto,Extinto | Extinto,2
08525326620228152001,Extinto,Extinto | Extinto,2
08354725120208152001,Ganho,Ganho | Ganho,2
08318312620188152001,Perdido,Perdido | Perdido,2
08111827420178152001,Extinto,Extinto | Extinto,2
08073964620228152001,Perdido,Perdido | Perdido,2
08001588320168152001,Outros,Outros | Outros,2
08346096120218152001,Perdido,Perdido | Perdido,2
08054674120228150331,Perdido,Perdido | Perdido | Outros | Outros,4
08469219820238152001,Acordo,Acordo | Acordo,2
08131165720238152001,Outros,Outros | Outros | Outros,3
08014318120228152003,Extinto,Extinto | Extinto | Extinto,3
08186707020238152001,Acordo,Acordo | Acordo,2
08326802220238152001,Extinto,Extinto | Extinto,2
00581178420128152001,Outros,Outros | Acordo | Acordo,3
00399237020118152001,Acordo,Acordo | Acordo | Outros | Outros,4
08417315720238152001,Extinto,Extinto | Extinto,2
08388613920238152001,Falha,,
08461728120238152001,Acordo,Acordo | Acordo,2
08038351420228152001,Extinto,Extinto | Extinto,2
08421247920238152001,Acordo,Acordo | Acordo,2
08620517020198152001,Acordo,Acordo | Acordo,2
08389417120218152001,Acordo,Acordo | Acordo,2
08520918520228152001,Extinto,Extinto | Extinto,2
08565543620238152001,Ganho,Ganho | Ganho,2
08494537920228152001,Perdido,Perdido | Perdido,2
08413338120218152001,Outros,Outros | Outros,2
08514214720228152001,Perdido,Perdido | Perdido,2
08441736420218152001,Extinto,Extinto | Extinto,2
08299166320238152001,Perdido,Perdido | Perdido,2
08032242720238152001,Acordo,Acordo | Acordo,2
08511195220218152001,Extinto,Extinto | Extinto | Extinto | Extinto,4
08016081720238152001,Acordo,Acordo | Acordo,2
08193989220158152001,Ganho,Ganho | Ganho | Outros | Outros,4
00088836520148152001,Nenhuma Sentença,-,-
08246342520158152001,Outros,Outros | Outros,2
08589603020238152001,Acordo,Acordo,1
08230671720198152001,Acordo,Acordo | Acordo | Outros | Outros,4
08446892620178152001,Perdido,Perdido | Perdido,2
08013137720238152001,Extinto,Extinto | Extinto,2
08425829620238152001,Perdido,Perdido | Perdido,2
08544264820208152001,Ganho,Ganho | Ganho | Extinto | Extinto,4
08308329720238152001,Extinto,Extinto | Extinto,2
08014832020218152001,Nenhuma Sentença,-,-
08315644920218152001,Outros,Outros | Outros,2
08079057420228152001,Ganho,Ganho | Ganho,2
08281680620178152001,Outros,Outros | Outros,2
08285079620168152001,Extinto,Extinto | Extinto,2
08178375720208152001,Acordo,Acordo | Acordo,2
08581806620188152001,Extinto,Extinto | Extinto,2
08345591120168152001,Extinto,Extinto | Extinto,2
08181294220208152001,Outros,Outros | Outros | Perdido | Perdido,4
08474006220218152001,Extinto,Extinto | Extinto,2
08347534020188152001,Extinto,Extinto | Extinto,2
08576932820208152001,Perdido,Perdido | Perdido,2
08138651620198152001,Outros,Outros | Outros | Outros | Outros | Outros,5
08348818420238152001,Acordo,Acordo | Acordo,2
08481428720218152001,Outros,Outros | Outros,2
08347784820218152001,Acordo,Acordo | Acordo,2
08136942520208152001,Extinto,Extinto | Extinto,2
08570247220208152001,Ganho,Ganho | Ganho,2
